Time,Seatpad-X,Seatpad-Y,Seatpad-Z,X_w,Y_w,Z_w,alX,alY,alZ
s,g,g,g,g,g,g,g,g,g
0,0.022755152,0.000257065,0.994120896,-4.48E-05,9.07E-05,-0.000426403,0.012617353,0.000111708,0.675667226
0.002,0.020355584,-0.001740403,0.998305738,-8.36E-05,6.68E-05,-0.000672839,0.012613231,-0.000126759,0.675471544
0.004,0.017426239,-0.002786696,0.994596422,-8.05E-05,4.75E-05,-0.000770436,0.012717585,-0.000378626,0.675275564
0.006,0.019607667,0.001778945,0.997354686,-6.96E-05,2.61E-05,-0.00069931,0.012761027,-0.000609296,0.675089121
0.008,0.019981623,-0.001581875,0.998210609,-7.49E-05,1.68E-05,-0.000564745,0.012798156,-0.000712962,0.674922168
0.01,0.019669993,-0.001803815,0.995230556,-7.62E-05,1.85E-05,-0.000383729,0.01288077,-0.000774601,0.674783647
0.012,0.019358359,0.00082777,0.99586457,-6.75E-05,1.27E-05,-0.000258991,0.012974595,-0.000827891,0.674679935
0.014,0.016615998,-0.00161358,0.994406283,-6.69E-05,5.97E-06,-0.00029097,0.012994165,-0.000819329,0.67461282
0.016,0.013499672,-0.001359933,0.996435225,-0.0001036,1.90E-06,-0.000417745,0.012785492,-0.0008119,0.674578846
0.018,0.017893689,-0.001898933,0.996118188,-0.000186233,-1.24E-05,-0.000506808,0.012355151,-0.000855456,0.674569368
0.02,0.019109055,0.002064298,0.993740439,-0.000271088,-2.89E-05,-0.000536392,0.011955484,-0.000865171,0.674572706
0.022,0.021196989,-0.004086636,0.998686194,-0.000305761,-3.27E-05,-0.000564017,0.01178654,-0.000827565,0.674576998
0.024,0.019451847,0.003142294,0.997322977,-0.000288681,-3.11E-05,-0.000504052,0.011852311,-0.000784916,0.674573064
0.026,0.014652711,-0.00069411,0.995610952,-0.000269051,-2.13E-05,-0.000315152,0.011938727,-0.000652675,0.674556017
0.028,0.020075113,-0.00107458,0.999542236,-0.000289785,-2.89E-07,-0.000118462,0.011912478,-0.000490154,0.674525499
0.03,0.016989954,-0.000820934,0.997576594,-0.000332896,9.58E-06,9.06E-05,0.011875486,-0.000408504,0.674483836
0.032,0.017488565,-0.003103755,0.993613601,-0.000368611,-3.62E-06,0.00028443,0.011829516,-0.000428576,0.674434602
0.034,0.019420685,-0.000155112,0.998749614,-0.00039761,-3.19E-05,0.000315365,0.0117783,-0.00053965,0.6743806
0.036,0.016678324,0.000796063,0.996245027,-0.000421157,-5.25E-05,0.000270473,0.011760327,-0.000608468,0.674323738
0.038,0.021196989,-0.001486757,0.998178959,-0.000436794,-4.88E-05,0.000318101,0.011784467,-0.000593078,0.674265206
0.04,0.024313312,0.000479004,0.996213317,-0.000423514,-3.52E-05,0.00042594,0.012022628,-0.000558029,0.674206972
0.042,0.021383967,-0.000662405,0.996625483,-0.000357024,-2.59E-05,0.000491428,0.012535947,-0.000502997,0.674152553
0.044,0.021570949,-0.003737871,0.993930697,-0.000264162,-2.76E-05,0.000438355,0.013133112,-0.000507702,0.674107254
0.046,0.019015566,-0.001201404,0.995293915,-0.000193108,-5.34E-05,0.000238253,0.013633375,-0.000645849,0.674077213
0.048,0.019981623,-0.002057462,0.99145782,-0.000159571,-9.46E-05,-8.99E-05,0.013951755,-0.00083555,0.674067736
0.05,0.019296033,-0.005259751,1.00020802,-0.000149645,-0.000139301,-0.000427303,0.014101564,-0.001090826,0.674081564
0.052,0.018174157,-0.003040343,0.99802047,-0.000148576,-0.00020049,-0.000497511,0.014100501,-0.001468883,0.674117565
0.054,0.019732319,-0.002564755,0.99256742,-0.000153634,-0.000274429,-0.000302215,0.013975168,-0.001860919,0.674170613
0.056,0.020978848,0.001778945,0.997005939,-0.000154295,-0.000324765,-0.000224808,0.013845234,-0.002079505,0.674232006
0.058,0.024718434,0.000352182,0.994976938,-0.000123784,-0.000323856,-0.000351379,0.013879194,-0.002013918,0.674290776
0.06,0.021664439,-0.00481587,0.994311154,-4.87E-05,-0.000298215,-0.000497544,0.014129377,-0.001845208,0.674335003
0.062,0.022692826,-0.001455051,0.993994057,4.66E-05,-0.000304722,-0.000658942,0.014471157,-0.00179265,0.6743536
0.064,0.019701157,-0.00351593,0.994152606,0.000125311,-0.00035038,-0.000876925,0.014764048,-0.001828987,0.674337864
